SMILES,condition1_yield
OCC1=CC=C([H])C=C1,50
OCC1=CC=C(OC)C=C1,72
OCC1=CC=C(C(C)(C)C)C=C1,66
OCC1=CC=C(C2=CC=CC=C2)C=C1,62
OCC1=CC=C([N+]([O-])=O)C=C1,52
OCC1=CC=CC2=C1OCO2,46
OCC1=CC=CC=C1[N+]([O-])=O,39
OC,70
OCC,51
OCC1CCCCC1,58
OCCSC1=CC=CC=C1,41
OCCC1=CC=C(OC)C=C1,53
OCCCCOCC1=CC=CC=C1,32
OCCCCOC1CCCO1,52
CCCCC/C=C\C/C=C\CCCCCCCCO,44
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC/C(C)=C/CO,77
OC/C=C/C1=CC=CC=C1,52
OC/C=C(C)/CC/C=C(C)/C,66
OC/C=C(C)\CC/C=C(C)/C,59
OCC1=CC=C2C(C=CC(C3=CC(C45C[C@H]6C[C@H](C[C@H](C6)C5)C4)=C(OC)C=C3)=C2)=C1,45
C[C@@H](C1=C(Cl)C=CC=C1)O,30
OC1CCC1,58
OC1CC(C(OC)=O)C1,42
OC1CCCCCCCCCCCCCC1,28
[H]OC1=CC(C=CC(OC)=C2)=C2C=C1,52
[H]OC1=CC=C(OCC)C=C1,0
Oc1ccncc1,0
OC(C(F)(F)F)C(F)(F)F,0
C=Cc1ccc(O)cc1,0
Cc1cc(C)c(O)c(C(C)(C)C)c1,0
OCCCCl,0
OC1CC1,0
Oc1ccnc2ccccc12,0
O=C1OCC[C@@H]1O,0
O=C1OC(O)c2ccccc21,0
COC(=O)CCO,0
COC(=O)[C@H](O)c1ccccc1,0
Cn1nccc1O,0
CCOCCO,0
CC1CC(C(C)(C)C)C(O)C(C(C)(C)C)C1,0
Cc1ncc([N+](=O)[O-])n1CC(O)CCl,0
Cc1ccncc1O,0
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0
CC(C)C(O)C(C)C,0
CC(C)(C)OC(=O)N[C@H]1CCCC[C@@H]1O,0
COC(=O)[C@@H]1C[C@H](O)CN1C(=O)OC(C)(C)C,0
CC(C)(C)[Si](C)(C)OCCO,0
O=C1NCC[C@@H]1O,0
Oc1ccc2ccc3cccc4ccc1c2c34,0
Oc1ccc(Oc2ccccc2)cc1,0
N#CCCO,0
OC[C@@H]1CO1,0
OC(/C=C/c1ccccc1)c1ccccc1,0
O=C1NCC(O)CN1,0
C#C[C@@H](C)O,0
COC(=O)[C@H](C)O,0
OC1CC=CCC1,0
CNC(=O)[C@@H](O)c1ccccc1,0
Cc1ccc(S(=O)(=O)OCCO)cc1,0
C[C@@H](O)C[N]C(=O)OC(C)(C)C,0
